	label	tweet
0	1	Sweet United Nations video  Just in time for Christmas   
1	1	We are rumored to have talked to Erv s agent    and the Angels asked about Ed Escobar    that s hardly nothing      
2	1	Hey there  Nice to see you Minnesota ND Winter Weather
3	0	3 episodes left I m dying over here
4	1	I can t breathe  was chosen as the most notable quote of the year in an annual list released by a Yale University librarian
5	0	You re never too old for Footie Pajamas  
6	1	Nothing makes me happier then getting on the highway and seeing break lights light up like a Christmas tree  
7	0	4 30 an opening my first beer now gonna be a long night day
8	0	do you think you would support a guy who knocked out your daughter  Rice doesn t deserve support 
9	0	You are not allowed to open that until Christmas day 
10	1	Oh  thank GOD   our entire office email system is down    the day of a big event  Santa  you know JUST what to get me for xmas 
11	0	But instead  I m scrolling through Facebook  Instagram  and Twitter for hours on end  accomplishing nothing 
12	0	 pouting face  no he bloody isn t I was upstairs getting changed  
13	0	Cold or warmth both suffuse one s cheeks with pink  colour tone      Do you understand the underlying difference   its texture 
14	1	Just great when you re mobile bill arrives by text
15	1	crushes are great until you realize they ll never be interested in you    p
16	1	Buffalo sports media is smarter than all of us  Where else can you get the quality insight offered by Harrington and Busgaglia 
17	0	I guess my cat also lost 3 pounds when she went to the vet after I ve been feeding her a few times a day    
18	1	trading a SP for a defense only SS  Brilliant trade 
19	1	But was trying to find us  and my battery died  Guess how he found us  Yes  that bastard wand       
20	1	please do  i need the second hand embarrassment so desperatly on my phone
21	0	I never cared for Beyonce  bc I could never get a sense of who she was  Her interviews lacked depth  tho    this girl got IT 
22	1	time to hit the books then
23	0	THX4FLW  FLWtheMUSIC WE R 
24	1	Love these cold winter mornings  grimacing face  best feeling everrrrrrr  
25	0	Amazingly  is not owned by They are going to have to shell out some decent money for it  
26	0	Wish she could have told me herself   heavy black heart ? heavy black heart ? 
27	0	The rain has made extra extra lazy smiling face with open mouth and cold sweat 
28	0	I was doing great with this summary of my year until I got to June 27th  and the weekend of  s birthday  
29	0	see  that MIGHT show up on a background check  and you d be denied its a catch 22 we have the right to self protection 
30	1	Smh never knew something could be 80  halal    Been muslim my whole life but somehow i ve learned something new i guess
31	1	A wonderful day of starting work at 6am
32	0	i feel like whole life is about waiting waiting and waiting
33	0	lol  grinning face with smiling eyes    Will let my kids know when they get up in the morning   Thanks for the tip
34	1	you guys sure screwed this up royally  I m happy for Lester  the brain trust over there sucks   
35	0	 terrorist PM SYDNEY – The gunman who took 17 hostages in Sydney    
36	1	Twig is now  Sprig —3 sec limit on new social video platform  
37	0	and what will that achieve  Seriously To be fired all the guys who had the balls to call them out are gone  
38	1	Yay for another work at 4am day  neutral face 
39	1	Physical therapy at 8 am is just what I want to be doing with my Friday  
40	1	Omg didn t tell he was in town  face screaming in fear  
41	1	I THOUGHT WHAT WE HAD WAS REAL  HOW COULD YOU BE FINE  COZ I M NOT FINE AT ALL Oh wait  Fixed the caps lock       o 
42	1	HaHaHaHa     MT Katie Hopkins calls Russell Brand a bully            
43	1	That moment when you have so much stuff to do but you open      
44	0	Lol  I m enjoying it two women holding hands   sleepy    white smiling face 
45	1	Luv this
46	1	  When some naturopaths sell  aromatic  herbs the way apothecaries sell noxious poisons  
47	0	Goal of the Season 1970  GOAL 1  Jon Sammels vs  
48	0	really  what else can a fish be besides a fish  
49	0	I think it s a safe bet it won t fit the crime 
50	1	It will be impossible for me to be late if I start to dress up right now  
51	1	When you re already running late and then your car won t start     
52	1	i decided to become my own boss to have more free time   now i have no time left whatsoever 
53	0	loyalty vs  self protection loyalty vs  self protection loyalty vs  self protection loyalty vs  self protection
54	0	American Kids starting playing and now I m super missing 
55	0	don t know how  among 100 most sustainable Cos in the world sure all parameters are measuredpositive 
56	0	None of the big  disruptive innovations in our lives have come out of brainstorming   Bruce Nussbaum 
57	0	that way people get to understand disabilities and not stare at us funny wen we out and about
58	1	Shit  I better shut my stupid girly mouth because im so concerned about what men might think of me 
59	0	Why does my tongue feel it necessary to try and touch the high speed tool my dentist has put in my mouth 
60	0	Tell me the now isn t a Govt paid job   then have the hyde to buy overseas online and pay no GST   mmm 
61	0	 Dirk s got a lot of moves I m trying to steal     Kevin Durant on his one legged fadeway
62	1	About once a yr I get a little nutty and reach for the orange marmalade   
63	1	Rogers  that smile just so accurately captures my reaction when I receive an extra high phone bill    
64	1	Whatever happened to the Guano Apes  Did they ever make it  Big in Japan  
65	0	Bmw i8 sexy az hell but too slow for the dinero 12 4 in the quarter mile slow of the design feeling the    
66	0	Let your humility guard your pride     Vanity shouldn t be allowed to be with such a delicate thing 
67	0	Whenever I get sad about how things are going now  I just think of how awesome the future looks to be  
68	1	I asked God to protect me from my enemies    shortly after I started losing friends  flushed face  hundred points symbol   or 
69	1	Just delivered to hmmm  its for a customer I hope    
70	1	Such     You still have to   
71	0	Hey heyy   I    wanna be a rockstar  hero 
72	1	  awk moment when I tweeted first      
73	0	Waa mockingjay part 2 tahon depan meh 20 Nov 2015 wtvr Night at the museum 3 
74	1	 nice to see the ambulance service is so important to OUR mps
75	1	I love finals week   
76	0	fucking copycat  although you re name is mint and the act we share it is probably a cause for alcohol filled celebration   
77	0	Literally cried when I woke up because I know what this day has in store for me  Ready 
78	0	Because I disagree w  you  Trading three picks for one when you have glaring holes at numerous positions is ass backwards 
79	1	  Oh that makes it all better   
80	0	Why didn t I start watching the tudors earlier  
81	0	 GET STARTED AT MAKING MONEY IN SOCIAL MEDIA   
82	0	don t knw how to react everytime sum1 says me being in a wheelchair  inspires  them  im just living they same you are dude
83	0	GET AHT A TAHN  The Made in PGH Gift Guide  via 
84	0	On my lunch break so sleepy sleeping face 
85	1	
86	1	dude said I better think hard   so he can take me to cheddars lmao  
87	0	My ritual   part one  
88	0	Overcast at Creso  
89	0	2014 can t end fast enough  Stupid dead battery 
90	1	Not even 8am and I can already see this is going to be a wonderful day  
91	1	I have an idea  how about 911 operators don t ever describe race   And police have to wear color blind glasses   
92	1	 but Russell is a good christian fella  he wouldn t do that 
93	0	Apparently my youth group thinks  Are you kidding me   is my default expression  or  nomal face   
94	1	 Hey Jay  I tuned in when u said  why all the cocaine talk today    after tweeting coke joke saw it s Escobar s 65th
95	0	Interviewed a turkey   here s what he had to say  
96	1	Planned on an early night last night   Oh yaa course that happened    
97	1	your last retweet though
98	1	2v4 S D matches are just so fun   
99	1	i just loveee bein short and having my sweatpants go all the way under my feet its so fun     pile of poo 
100	1	I love waking up at 8 am on a Saturday morning after going to bed at midnight
101	1	A day where  ruled I got followed by Wht a  day   Lollllll 
102	0	Jusuf Nurkic RT He clearly has a lot of talent  Kind of amazing that Denver got him and Gary Harris for McDermott 
103	0	I don t even have progress on my thesis tas preparations for our event this thursday  weary face 
104	1	Gym and I are gonna have a reeeaaalll nice date tomorrow   
105	0	Sony pulled a movie bc we re scared of a country that can t even keep its lights on at night  Even motel 6 can do better than that  
106	0	Had a nice 3 hour nap  Picking up my Chinese take out and set to watch I added water chestnuts to my dinner
107	0	The Bears are probably the worst franchise in football at the moment 
108	1	I m so pissed off at Chicago  Like the people at the airport ruined so many peoples chances of ever meeting the boys  expressionless face  expressionless face  expressionless face   Way to go
109	0	Hell has frozen over  Literally  
110	1	Can you write your name on a paper and take a picture     — I can but I m busy answering this question oh     
111	0	Its a marshmallow world in the winter  multiple musical notes  
112	1	Taking the bike through rainy and cold dark streets to the dentist  Yaaaay  
113	1	Reading about Barack Obama in the Barack plaza oh the  
114	0	that is the face of a tired man hahahahah
115	1	We want turkey  
116	0	happy to be of some small service    
117	0	Choose your words carefully hurting someone feelings is not the right way to go 
118	1	What a joke  Thanks for the detailed response and communication with your customers   
119	0	Asalamoalekum     smiling face with open mouth  kesay mizaj   Thank you so much  It was posted on 2nd December 2013  Already there   smiling face with halo 
120	0	Feeling artsy tonight    b e s apartment 
121	0	showed mom this picture of me and   says  this is grunge  and she goes  haha   I love it   
122	0	explains why Inter went all Calciopoli over Juventus   
123	0	I pray God comes back in America and saves us all 
124	0	 The appointment of the Reverend Libby Lane as the    
125	0	Sad that when someone drinks they treat you like shit and won t talk to you 
126	0	We provide a structure that ensures you will successfully invest in real estate   
127	0	Ask a liberal and he will tell you Obama got us out of Iraq and won the Afghan war   and no one ever died under his watch 
128	1	Why am I sick   looks at other tweets  oh yeah sex     
129	1	working a double on 2 hours of sleep here we go let s get it
130	1	For those of you that LOVE this time of year   
131	1	In other news i havent had a good nights sleep in a week  I feel great 
132	0	The pure of   
133	0	Change your every day now  Enjoy  
134	1	Happy 2nd anniversary to me in SGV  Happy OT here in client  Woohoo  I loooooove my job  Super  More years to go         
135	0	Cause of all the things in life this seems to be in  Music  Medicine    Doctor 
136	0	I guess that means MSM will dig something up to smear Barkley now 
137	0	Jimi Agbaje is a fine man   in respect to public service what notable landmark has he achieved   Tested Jimi    
138	1	good thing we had enough and to survive if needed     
139	0	why all the delays   happy
140	1	The fun part about 4 am drives in the winter  is no one has cleaned the snow yet
141	0	I miss the days when all my close friends lived in the same city 
142	1	so it s claimed that 99  of all russian athletes take performance enhancing drugs  there is a surprise
143	0	is that   
144	1	Shoutout to my mom for being hella supportive of me
145	1	you may also see flags of ISIS with him  is this govt and ch nisar don t admit    
146	1	that s funny
147	0	Do you want more period related post or do you like how I post some personal things here on Instagram  
148	0	 Exotic brunette gets her little tight butt nailed right on the office desk
149	1	what time is the UFC press conference tomorrow with names of numerous fighters getting cut
150	0	on high Seas     Fishing boat  allegedly from blows up at sea        
151	0	
152	1	I like listening to dads truck drivers tell me about them going to the strip joint and their old lady getting mad at them over it   face with tears of joy 
153	0	Hate it  Go back to the old format please 
154	0	its a week joke I have with Jessica and my niece person raising both hands in celebration 
155	0	You seriously bought a giant TV to play in the box 
156	1	Haha who the fuck says that to someone
157	0	If you don t want Hall to eventually ask for a trade then hope for consistency in the message  Change too much you might as well start over
158	0	wow  That  here though  sorry grandpa  we use mac these days 
159	0	I liked the first one  Never cared enough to watch the sequel s    That said  I will only watch the because of 
160	0	
161	0	The badger crusade continues   Gloucestershire badger patrols triggered by illegal trapping fears  
162	0	I also support instantly murdering 12 year olds with fake plastic guns in public parks   
163	0	Auntie just called and said shes on her way   I better get dressed then  astonished face  face with tears of joy  face with tears of joy 
164	1	Ahhh 7 a m bedtimes  how I ve missed you  
165	0	Nerd having a bit of fun with Georgia   chilling on my comfy    
166	0	I think it was the hotel owners   
167	0	One day I want to travel with my bestfriend  earth globe asia australia  airplane ?  DONE DID TRAVELED DA WORLD    heavy black heart ?
168	1	Again fans come second  Thanks again
169	0	When you return in kind then so called friends label you as being unkind    
170	0	Sometimes i just dont understand anything 
171	0	That was the cutest thing ever  smiling face with heart shaped eyes  face throwing a kiss 
172	1	Oh how I love that my ass is too big to fit into my jeans anymore   
173	1	doesn t lucky and fortunate mean the same thing 
174	0	I enjoy stealing my husband hat every once in awhile  smiling face with heart shaped eyes  face throwing a kiss  flushed face  
175	0	His tweet in the context of his history is what makes it a clear bait 
176	0	Insanity is doing the same thing twice and expecting different results
177	1	3 hours sleep yay loving life
178	1	wow  look at you hotshot   
179	0	Can t wait to play the Beta with you XD 
180	1	Contemplating responding to tweet saying  what remains of their pride  but not sure how well that will go down
181	1	Having to be up in four hours sounds great
182	1	OH and now the District line has major signal failures and delays FANTASTIC   
183	1	sure that will end well
184	0	Country music   photo editing  my type of morning  black sun with rays ? multiple musical notes 
185	1	LOL   Micromax is promising that service   
186	0	Its so hard to choose between the pleasure and the pain   
187	1	Adrian was raised that way and he made it to the NFL  Maybe he thought that would motivate his kid to get there too 
188	1	She heard Him cry and His little fingers   toes were counted and Mary exclaimed  He s PERFECT    Oh Mary  you so cray cray 
189	1	My secret name is lizard squad  I like to ruin people s fun time  Follow and rt to a billion and you ll have fun   
190	1	Sexist article in the Daily Fail about men wasting money on cycling   accompanied by recommendation for a handbag costing £999 
191	0	you tweet about having a flip phone  Now that s the definition of
192	1	yea we was we too only a couple schools played black   not its a black dominate game
193	0	Don t forget to join for Night tonight starting at 4pm  
194	0	I don t think I ve ever seen Love Actually all the way through  I tried once last year  I don t remember it 
195	0	My Nephew stopped a lot  His long hair  looks like a drug dealer  Never smoked anything Pills not an aspirin 
196	0	asks permission to of yeah  y can go   away 
197	0	 Answer 2  More than 150 artists  
198	1	not playing out in the provinces like  oh  Mississippi 
199	0	Church sign of the day  How would you feel if we celebrated your birthday without you   speak no evil monkey  
